,Precisão,Recall,F1-score,Quantidade
Abaixo do Peso,1.0,1.0,1.0,53.0
Peso Normal,0.9047619047619048,1.0,0.95,57.0
Obesidade Tipo I,1.0,0.9857142857142858,0.9928057553956835,70.0
Obesidade Tipo II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesidade Tipo III,1.0,0.9846153846153847,0.9922480620155039,65.0
Sobrepeso Nível I,1.0,0.9272727272727272,0.9622641509433962,55.0
Sobrepeso Nível II,0.9824561403508771,0.9655172413793104,0.9739130434782609,58.0
accuracy,0.9808612440191388,0.9808612440191388,0.9808612440191388,0.9808612440191388
macro avg,0.9815463717842616,0.9804456627116727,0.980423792717561,418.0
weighted avg,0.9822255458239293,0.9808612440191388,0.9810003444108528,418.0
